Nintendo Wii || Alien Syndrome (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Alien Syndrome (USA)/Alien Syndrome (USA).json
Nintendo Wii || Harvest Moon - Tree of Tranquility (USA) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Harvest Moon - Tree of Tranquility (USA) (Rev 1)/Harvest Moon - Tree of Tranquility (USA) (Rev 1).json
Nintendo Wii || House of the Dead 2 & 3 Return, The (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/House of the Dead 2 & 3 Return, The (USA) (En,Fr,Es)/House of the Dead 2 & 3 Return, The (USA) (En,Fr,Es).json
Nintendo Wii || Ikenie no Yoru (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Ikenie no Yoru (Japan)/Ikenie no Yoru (Japan).json
Nintendo Wii || Indiana Jones and the Staff of Kings (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Indiana Jones and the Staff of Kings (USA) (En,Fr,Es)/Indiana Jones and the Staff of Kings (USA) (En,Fr,Es).json
Nintendo Wii || Ju-on - The Grudge - Haunted House Simulator (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Ju-on - The Grudge - Haunted House Simulator (USA) (En,Fr,Es)/Ju-on - The Grudge - Haunted House Simulator (USA) (En,Fr,Es).json
Nintendo Wii || Just Dance (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Just Dance (USA) (En,Fr,Es)/Just Dance (USA) (En,Fr,Es).json
Nintendo Wii || Just Dance - Summer Party (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Just Dance - Summer Party (USA) (En,Fr,Es)/Just Dance - Summer Party (USA) (En,Fr,Es).json
Nintendo Wii || Just Dance 2 (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Just Dance 2 (USA) (En,Fr,Es)/Just Dance 2 (USA) (En,Fr,Es).json
Nintendo Wii || Just Dance 3 (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Just Dance 3 (USA) (En,Fr,Es)/Just Dance 3 (USA) (En,Fr,Es).json
Nintendo Wii || Kirby's Dream Collection - Special Edition (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Kirby's Dream Collection - Special Edition (USA)/Kirby's Dream Collection - Special Edition (USA).json
Nintendo Wii || Kirby's Epic Yarn (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Kirby's Epic Yarn (USA) (En,Fr,Es)/Kirby's Epic Yarn (USA) (En,Fr,Es).json
Nintendo Wii || Kirby's Return to Dream Land (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Kirby's Return to Dream Land (USA) (En,Fr,Es)/Kirby's Return to Dream Land (USA) (En,Fr,Es).json
Nintendo Wii || Klonoa (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Klonoa (USA) (En,Fr,Es)/Klonoa (USA) (En,Fr,Es).json
Nintendo Wii || LEGO Indiana Jones 2 - The Adventure Continues (USA) (En,Fr,Es) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/LEGO Indiana Jones 2 - The Adventure Continues (USA) (En,Fr,Es) (Rev 1)/LEGO Indiana Jones 2 - The Adventure Continues (USA) (En,Fr,Es) (Rev 1).json
Nintendo Wii || LEGO Star Wars - The Complete Saga (USA) (En,Fr,Es) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/LEGO Star Wars - The Complete Saga (USA) (En,Fr,Es) (Rev 1)/LEGO Star Wars - The Complete Saga (USA) (En,Fr,Es) (Rev 1).json
Nintendo Wii || LEGO Star Wars III - The Clone Wars (USA) (En,Fr,Es) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/LEGO Star Wars III - The Clone Wars (USA) (En,Fr,Es) (Rev 1)/LEGO Star Wars III - The Clone Wars (USA) (En,Fr,Es) (Rev 1).json
Nintendo Wii || Last Story, The (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Last Story, The (USA) (En,Fr,Es)/Last Story, The (USA) (En,Fr,Es).json
Nintendo Wii || Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es)/Legend of Zelda, The - Skyward Sword (USA) (En,Fr,Es).json
Nintendo Wii || Legend of Zelda, The - Twilight Princess (USA) (En,Fr,Es) (Rev 2) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Legend of Zelda, The - Twilight Princess (USA) (En,Fr,Es) (Rev 2)/Legend of Zelda, The - Twilight Princess (USA) (En,Fr,Es) (Rev 2).json
Nintendo Wii || Link's Crossbow Training (USA) (En,Fr,Es) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Link's Crossbow Training (USA) (En,Fr,Es) (Rev 1)/Link's Crossbow Training (USA) (En,Fr,Es) (Rev 1).json
Nintendo Wii || MadWorld (USA) (En,Fr,Es,It) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/MadWorld (USA) (En,Fr,Es,It)/MadWorld (USA) (En,Fr,Es,It).json
Nintendo Wii || Mario Kart Wii (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Mario Kart Wii (USA) (En,Fr,Es)/Mario Kart Wii (USA) (En,Fr,Es).json
Nintendo Wii || Metroid - Other M (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Metroid - Other M (USA) (En,Fr,Es)/Metroid - Other M (USA) (En,Fr,Es).json
Nintendo Wii || Metroid Prime Trilogy (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Metroid Prime Trilogy (USA)/Metroid Prime Trilogy (USA).json
Nintendo Wii || Monster Hunter Tri (USA) (Demo) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Monster Hunter Tri (USA) (Demo)/Monster Hunter Tri (USA) (Demo).json
Nintendo Wii || My Fitness Coach (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/My Fitness Coach (USA)/My Fitness Coach (USA).json
Nintendo Wii || My Fitness Coach 2 - Exercise and Nutrition (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/My Fitness Coach 2 - Exercise and Nutrition (USA) (En,Fr,Es)/My Fitness Coach 2 - Exercise and Nutrition (USA) (En,Fr,Es).json
Nintendo Wii || New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2)/New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).json
Nintendo Wii || Nights - Journey of Dreams (USA) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Nights - Journey of Dreams (USA) (En,Ja,Fr,De,Es,It)/Nights - Journey of Dreams (USA) (En,Ja,Fr,De,Es,It).json
Nintendo Wii || No More Heroes (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/No More Heroes (USA) (En,Fr,Es)/No More Heroes (USA) (En,Fr,Es).json
Nintendo Wii || No More Heroes 2 - Desperate Struggle (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/No More Heroes 2 - Desperate Struggle (USA) (En,Fr,Es)/No More Heroes 2 - Desperate Struggle (USA) (En,Fr,Es).json
Nintendo Wii || Onechanbara - Bikini Zombie Slayers (USA) (En,Fr) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Onechanbara - Bikini Zombie Slayers (USA) (En,Fr)/Onechanbara - Bikini Zombie Slayers (USA) (En,Fr).json
Nintendo Wii || Overlord - Dark Legend (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Overlord - Dark Legend (USA) (En,Fr,Es)/Overlord - Dark Legend (USA) (En,Fr,Es).json
Nintendo Wii || Pandora's Tower (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Pandora's Tower (USA) (En,Fr,Es)/Pandora's Tower (USA) (En,Fr,Es).json
Nintendo Wii || Pikmin (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Pikmin (USA) (En,Fr,Es)/Pikmin (USA) (En,Fr,Es).json
Nintendo Wii || Pikmin 2 (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Pikmin 2 (USA) (En,Fr,Es)/Pikmin 2 (USA) (En,Fr,Es).json
Nintendo Wii || Punch-Out!! (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Punch-Out!! (USA) (En,Fr,Es)/Punch-Out!! (USA) (En,Fr,Es).json
Nintendo Wii || Rampage - Total Destruction (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Rampage - Total Destruction (USA)/Rampage - Total Destruction (USA).json
Nintendo Wii || Red Steel (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Red Steel (USA) (En,Fr,Es)/Red Steel (USA) (En,Fr,Es).json
Nintendo Wii || Red Steel 2 (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Red Steel 2 (USA) (En,Fr,Es)/Red Steel 2 (USA) (En,Fr,Es).json
Nintendo Wii || Resident Evil - The Darkside Chronicles (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Resident Evil - The Darkside Chronicles (USA)/Resident Evil - The Darkside Chronicles (USA).json
Nintendo Wii || Resident Evil - The Umbrella Chronicles (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Resident Evil - The Umbrella Chronicles (USA)/Resident Evil - The Umbrella Chronicles (USA).json
Nintendo Wii || Resident Evil 4 - Wii Edition (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Resident Evil 4 - Wii Edition (USA)/Resident Evil 4 - Wii Edition (USA).json
Nintendo Wii || Resident Evil Archives - Resident Evil (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Resident Evil Archives - Resident Evil (USA)/Resident Evil Archives - Resident Evil (USA).json
Nintendo Wii || Resident Evil Archives - Resident Evil Zero (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Resident Evil Archives - Resident Evil Zero (USA)/Resident Evil Archives - Resident Evil Zero (USA).json
Nintendo Wii || Retro City Rampage DX (Europe) (En,Fr,It,De,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Retro City Rampage DX (Europe) (En,Fr,It,De,Es)/Retro City Rampage DX (Europe) (En,Fr,It,De,Es).json
Nintendo Wii || Rodea the Sky Soldier (USA) (En,Ja,Fr,De) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Rodea the Sky Soldier (USA) (En,Ja,Fr,De)/Rodea the Sky Soldier (USA) (En,Ja,Fr,De).json
Nintendo Wii || Sam & Max - Beyond Time and Space (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Sam & Max - Beyond Time and Space (USA) (En,Fr,Es)/Sam & Max - Beyond Time and Space (USA) (En,Fr,Es).json
Nintendo Wii || Sam & Max - Season One (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Sam & Max - Season One (USA) (En,Fr,Es)/Sam & Max - Season One (USA) (En,Fr,Es).json
Nintendo Wii || Shakedown - Hawaii (Europe) (En,Fr) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Shakedown - Hawaii (Europe) (En,Fr)/Shakedown - Hawaii (Europe) (En,Fr).json
Nintendo Wii || Silent Hill - Shattered Memories (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Silent Hill - Shattered Memories (USA) (En,Fr,Es)/Silent Hill - Shattered Memories (USA) (En,Fr,Es).json
Nintendo Wii || Sonic Colors (USA) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Sonic Colors (USA) (En,Ja,Fr,De,Es,It)/Sonic Colors (USA) (En,Ja,Fr,De,Es,It).json
Nintendo Wii || Sonic and the Black Knight (USA) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Sonic and the Black Knight (USA) (En,Ja,Fr,De,Es,It)/Sonic and the Black Knight (USA) (En,Ja,Fr,De,Es,It).json
Nintendo Wii || Sonic and the Secret Rings (USA) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Sonic and the Secret Rings (USA) (En,Ja,Fr,De,Es,It)/Sonic and the Secret Rings (USA) (En,Ja,Fr,De,Es,It).json
Nintendo Wii || Soulcalibur Legends (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Soulcalibur Legends (USA)/Soulcalibur Legends (USA).json
Nintendo Wii || Star Wars - The Force Unleashed (USA) (En,Fr) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Star Wars - The Force Unleashed (USA) (En,Fr)/Star Wars - The Force Unleashed (USA) (En,Fr).json
Nintendo Wii || Star Wars - The Force Unleashed II (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Star Wars - The Force Unleashed II (USA) (En,Fr,Es)/Star Wars - The Force Unleashed II (USA) (En,Fr,Es).json
Nintendo Wii || Super Mario All-Stars (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Super Mario All-Stars (USA)/Super Mario All-Stars (USA).json
Nintendo Wii || Super Mario Galaxy (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Super Mario Galaxy (USA) (En,Fr,Es)/Super Mario Galaxy (USA) (En,Fr,Es).json
Nintendo Wii || Super Paper Mario (USA) (Rev 2) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Super Paper Mario (USA) (Rev 2)/Super Paper Mario (USA) (Rev 2).json
Nintendo Wii || Super Smash Bros. Brawl (USA) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Super Smash Bros. Brawl (USA) (Rev 1)/Super Smash Bros. Brawl (USA) (Rev 1).json
Nintendo Wii || Tatsunoko vs. Capcom - Ultimate All-Stars (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Tatsunoko vs. Capcom - Ultimate All-Stars (USA)/Tatsunoko vs. Capcom - Ultimate All-Stars (USA).json
Nintendo Wii || Trauma Center - New Blood (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Trauma Center - New Blood (USA)/Trauma Center - New Blood (USA).json
Nintendo Wii || Wario Land - Shake It! (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Wario Land - Shake It! (USA) (En,Fr,Es)/Wario Land - Shake It! (USA) (En,Fr,Es).json
Nintendo Wii || Wii Fit (USA) (En,Fr,Es) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Wii Fit (USA) (En,Fr,Es) (Rev 1)/Wii Fit (USA) (En,Fr,Es) (Rev 1).json
Nintendo Wii || Wii Fit Plus (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Wii Fit Plus (USA) (En,Fr,Es)/Wii Fit Plus (USA) (En,Fr,Es).json
Nintendo Wii || Wii Music (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Wii Music (USA) (En,Fr,Es)/Wii Music (USA) (En,Fr,Es).json
Nintendo Wii || Wii Play (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Wii Play (USA)/Wii Play (USA).json
Nintendo Wii || Wii Sports (USA) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Wii Sports (USA) (Rev 1)/Wii Sports (USA) (Rev 1).json
Nintendo Wii || Zack & Wiki - Quest for Barbaros' Treasure (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Zack & Wiki - Quest for Barbaros' Treasure (USA)/Zack & Wiki - Quest for Barbaros' Treasure (USA).json
Nintendo Wii || Zero - Tsukihami no Kamen (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii/Zero - Tsukihami no Kamen (Japan)/Zero - Tsukihami no Kamen (Japan).json
