Computer - Itchio || 1,000 Heads Among the Trees (USA) || $ROM_JSON_ROOT/Computer/Itchio/#-0/1,000 Heads Among the Trees (USA)/1,000 Heads Among the Trees (USA).json
Computer - Itchio || Best Garden (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Best Garden (USA)/Best Garden (USA).json
Computer - Itchio || Bestiary (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bestiary (USA)/Bestiary (USA).json
Computer - Itchio || Better to Upload Two Souls (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Better to Upload Two Souls (USA)/Better to Upload Two Souls (USA).json
Computer - Itchio || Bewildebots (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bewildebots (USA)/Bewildebots (USA).json
Computer - Itchio || Bezier (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bezier (USA)/Bezier (USA).json
Computer - Itchio || Bicyclism EP (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bicyclism EP (USA)/Bicyclism EP (USA).json
Computer - Itchio || Big Wave, The - Colorblind & Deaf Friendly Puzzle Game (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Big Wave, The - Colorblind & Deaf Friendly Puzzle Game (USA)/Big Wave, The - Colorblind & Deaf Friendly Puzzle Game (USA).json
Computer - Itchio || Binaries (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Binaries (USA)/Binaries (USA).json
Computer - Itchio || Binary Heresy (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Binary Heresy (USA)/Binary Heresy (USA).json
Computer - Itchio || Binky's Trash Service (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Binky's Trash Service (USA)/Binky's Trash Service (USA).json
Computer - Itchio || Bird Bakery (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bird Bakery (USA)/Bird Bakery (USA).json
Computer - Itchio || Bit Rat - Singularity (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bit Rat - Singularity (USA)/Bit Rat - Singularity (USA).json
Computer - Itchio || Bitcoin Miner - Remastered (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bitcoin Miner - Remastered (USA)/Bitcoin Miner - Remastered (USA).json
Computer - Itchio || Black Iris, The (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Black Iris, The (USA)/Black Iris, The (USA).json
Computer - Itchio || Blast Rush (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blast Rush (USA)/Blast Rush (USA).json
Computer - Itchio || Blaster Bunny Plus (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blaster Bunny Plus (USA)/Blaster Bunny Plus (USA).json
Computer - Itchio || Blasting Agent - Ultimate Edition (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blasting Agent - Ultimate Edition (USA)/Blasting Agent - Ultimate Edition (USA).json
Computer - Itchio || Bleed (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bleed (USA)/Bleed (USA).json
Computer - Itchio || Bleed 2 (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bleed 2 (USA)/Bleed 2 (USA).json
Computer - Itchio || Blind Men (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blind Men (USA)/Blind Men (USA).json
Computer - Itchio || Blitz Breaker (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blitz Breaker (USA)/Blitz Breaker (USA).json
Computer - Itchio || Block Out (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Block Out (USA)/Block Out (USA).json
Computer - Itchio || Blockara (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blockara (USA)/Blockara (USA).json
Computer - Itchio || Blood Bullets & Ballet (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blood Bullets & Ballet (USA)/Blood Bullets & Ballet (USA).json
Computer - Itchio || BloodBlast VR (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/BloodBlast VR (USA)/BloodBlast VR (USA).json
Computer - Itchio || Blue Rose Reprise (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Blue Rose Reprise (USA)/Blue Rose Reprise (USA).json
Computer - Itchio || Boa Retina (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Boa Retina (USA)/Boa Retina (USA).json
Computer - Itchio || Bold Blade (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bold Blade (USA)/Bold Blade (USA).json
Computer - Itchio || Bomb Dolls (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bomb Dolls (USA)/Bomb Dolls (USA).json
Computer - Itchio || Bombing!! - A Graffiti Sandbox (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bombing!! - A Graffiti Sandbox (USA)/Bombing!! - A Graffiti Sandbox (USA).json
Computer - Itchio || Bomsy (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bomsy (USA)/Bomsy (USA).json
Computer - Itchio || Bonbon (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bonbon (USA)/Bonbon (USA).json
Computer - Itchio || Bonsai Calendar (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bonsai Calendar (USA)/Bonsai Calendar (USA).json
Computer - Itchio || Boom Boom Bovine (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Boom Boom Bovine (USA)/Boom Boom Bovine (USA).json
Computer - Itchio || BoomTown (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/BoomTown (USA)/BoomTown (USA).json
Computer - Itchio || Borb the Birb (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Borb the Birb (USA)/Borb the Birb (USA).json
Computer - Itchio || Boreal Tenebrae Act I (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Boreal Tenebrae Act I (USA)/Boreal Tenebrae Act I (USA).json
Computer - Itchio || Botolo (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Botolo (USA)/Botolo (USA).json
Computer - Itchio || Bouncy Cars (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bouncy Cars (USA)/Bouncy Cars (USA).json
Computer - Itchio || Box (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Box (USA)/Box (USA).json
Computer - Itchio || Brassica - A Marry Tale (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Brassica - A Marry Tale (USA)/Brassica - A Marry Tale (USA).json
Computer - Itchio || Brathian (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Brathian (USA)/Brathian (USA).json
Computer - Itchio || Brave Hero Yuusha EX (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Brave Hero Yuusha EX (USA)/Brave Hero Yuusha EX (USA).json
Computer - Itchio || Breaker (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Breaker (USA)/Breaker (USA).json
Computer - Itchio || Brendan Keogh's Putting Challenge (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Brendan Keogh's Putting Challenge (USA)/Brendan Keogh's Putting Challenge (USA).json
Computer - Itchio || Brick Breaker Remix (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Brick Breaker Remix (USA)/Brick Breaker Remix (USA).json
Computer - Itchio || Bring Back The Sun by Daniel da Silva (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bring Back The Sun by Daniel da Silva (USA)/Bring Back The Sun by Daniel da Silva (USA).json
Computer - Itchio || Bringris (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bringris (USA)/Bringris (USA).json
Computer - Itchio || Broken Minds (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Broken Minds (USA)/Broken Minds (USA).json
Computer - Itchio || Broken Signal (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Broken Signal (USA)/Broken Signal (USA).json
Computer - Itchio || Brushwood Buddies (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Brushwood Buddies (USA)/Brushwood Buddies (USA).json
Computer - Itchio || Bubbles the Cat (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bubbles the Cat (USA)/Bubbles the Cat (USA).json
Computer - Itchio || Bugspeed Collider (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bugspeed Collider (USA)/Bugspeed Collider (USA).json
Computer - Itchio || Bullet Beat (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bullet Beat (USA)/Bullet Beat (USA).json
Computer - Itchio || BulletHell Planes (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/BulletHell Planes (USA)/BulletHell Planes (USA).json
Computer - Itchio || Bumper Boss (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bumper Boss (USA)/Bumper Boss (USA).json
Computer - Itchio || Bunnies vs. Bunnies - Ukraine Edition (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bunnies vs. Bunnies - Ukraine Edition (USA)/Bunnies vs. Bunnies - Ukraine Edition (USA).json
Computer - Itchio || Bunny Hill Horror (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bunny Hill Horror (USA)/Bunny Hill Horror (USA).json
Computer - Itchio || Bunny Hill Horror - Bunny Boiler (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bunny Hill Horror - Bunny Boiler (USA)/Bunny Hill Horror - Bunny Boiler (USA).json
Computer - Itchio || Bury me, my Love (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Bury me, my Love (USA)/Bury me, my Love (USA).json
Computer - Itchio || Butsbal (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Butsbal (USA)/Butsbal (USA).json
Computer - Itchio || Butterflies Episode 1 - Rudies (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Butterflies Episode 1 - Rudies (USA)/Butterflies Episode 1 - Rudies (USA).json
Computer - Itchio || Butterflies Episode 2 - Getting Up (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Butterflies Episode 2 - Getting Up (USA)/Butterflies Episode 2 - Getting Up (USA).json
Computer - Itchio || Button City (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/Button City (USA)/Button City (USA).json
Computer - Itchio || By Lamplight (USA) || $ROM_JSON_ROOT/Computer/Itchio/B/By Lamplight (USA)/By Lamplight (USA).json
