NEC TurboGrafx-16 & PC-Engine || Air Zonk (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Air Zonk (USA)/Air Zonk (USA).json
NEC TurboGrafx-16 & PC-Engine || Darius Plus (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Darius Plus (Japan)/Darius Plus (Japan).json
NEC TurboGrafx-16 & PC-Engine || Devil's Crush (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Devil's Crush (USA)/Devil's Crush (USA).json
NEC TurboGrafx-16 & PC-Engine || Double Dungeons (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Double Dungeons (USA)/Double Dungeons (USA).json
NEC TurboGrafx-16 & PC-Engine || Dragon Spirit (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Dragon Spirit (Japan)/Dragon Spirit (Japan).json
NEC TurboGrafx-16 & PC-Engine || Dragon Spirit (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Dragon Spirit (USA)/Dragon Spirit (USA).json
NEC TurboGrafx-16 & PC-Engine || Dungeon Explorer (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Dungeon Explorer (Japan)/Dungeon Explorer (Japan).json
NEC TurboGrafx-16 & PC-Engine || Dungeon Explorer (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Dungeon Explorer (USA)/Dungeon Explorer (USA).json
NEC TurboGrafx-16 & PC-Engine || Fantasy Zone (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Fantasy Zone (Japan)/Fantasy Zone (Japan).json
NEC TurboGrafx-16 & PC-Engine || Fantasy Zone (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Fantasy Zone (USA)/Fantasy Zone (USA).json
NEC TurboGrafx-16 & PC-Engine || Final Soldier (Japan) (En) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Final Soldier (Japan) (En)/Final Soldier (Japan) (En).json
NEC TurboGrafx-16 & PC-Engine || Galaga '88 (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Galaga '88 (Japan)/Galaga '88 (Japan).json
NEC TurboGrafx-16 & PC-Engine || Genpei Toumaden (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Genpei Toumaden (Japan)/Genpei Toumaden (Japan).json
NEC TurboGrafx-16 & PC-Engine || Gradius (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Gradius (Japan)/Gradius (Japan).json
NEC TurboGrafx-16 & PC-Engine || J.J. & Jeff (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/J.J. & Jeff (USA)/J.J. & Jeff (USA).json
NEC TurboGrafx-16 & PC-Engine || Jaseiken Necromancer (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Jaseiken Necromancer (Japan)/Jaseiken Necromancer (Japan).json
NEC TurboGrafx-16 & PC-Engine || Keith Courage in Alpha Zones (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Keith Courage in Alpha Zones (USA)/Keith Courage in Alpha Zones (USA).json
NEC TurboGrafx-16 & PC-Engine || Military Madness (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Military Madness (USA)/Military Madness (USA).json
NEC TurboGrafx-16 & PC-Engine || Moto Roader (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Moto Roader (USA)/Moto Roader (USA).json
NEC TurboGrafx-16 & PC-Engine || Neutopia (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Neutopia (Japan)/Neutopia (Japan).json
NEC TurboGrafx-16 & PC-Engine || Neutopia (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Neutopia (USA)/Neutopia (USA).json
NEC TurboGrafx-16 & PC-Engine || Neutopia II (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Neutopia II (Japan)/Neutopia II (Japan).json
NEC TurboGrafx-16 & PC-Engine || Neutopia II (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Neutopia II (USA)/Neutopia II (USA).json
NEC TurboGrafx-16 & PC-Engine || New Adventure Island (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/New Adventure Island (USA)/New Adventure Island (USA).json
NEC TurboGrafx-16 & PC-Engine || Ninja Ryuuken Den (Japan) (En,Ja,Zh) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Ninja Ryuuken Den (Japan) (En,Ja,Zh)/Ninja Ryuuken Den (Japan) (En,Ja,Zh).json
NEC TurboGrafx-16 & PC-Engine || Ninja Spirit (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Ninja Spirit (USA)/Ninja Spirit (USA).json
NEC TurboGrafx-16 & PC-Engine || Parasol Stars - The Story of Bubble Bobble III (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Parasol Stars - The Story of Bubble Bobble III (USA)/Parasol Stars - The Story of Bubble Bobble III (USA).json
NEC TurboGrafx-16 & PC-Engine || Power Golf (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Power Golf (USA)/Power Golf (USA).json
NEC TurboGrafx-16 & PC-Engine || Psychosis (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Psychosis (USA)/Psychosis (USA).json
NEC TurboGrafx-16 & PC-Engine || R-Type (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/R-Type (USA)/R-Type (USA).json
NEC TurboGrafx-16 & PC-Engine || Shockman (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Shockman (USA)/Shockman (USA).json
NEC TurboGrafx-16 & PC-Engine || Soldier Blade (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Soldier Blade (USA)/Soldier Blade (USA).json
NEC TurboGrafx-16 & PC-Engine || Space Harrier (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Space Harrier (USA)/Space Harrier (USA).json
NEC TurboGrafx-16 & PC-Engine || Splatterhouse (Japan) (En) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Splatterhouse (Japan) (En)/Splatterhouse (Japan) (En).json
NEC TurboGrafx-16 & PC-Engine || Super Momotarou Dentetsu II (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Super Momotarou Dentetsu II (Japan)/Super Momotarou Dentetsu II (Japan).json
NEC TurboGrafx-16 & PC-Engine || Super Star Soldier (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Super Star Soldier (Japan)/Super Star Soldier (Japan).json
NEC TurboGrafx-16 & PC-Engine || Super Star Soldier (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Super Star Soldier (USA)/Super Star Soldier (USA).json
NEC TurboGrafx-16 & PC-Engine || Valkyrie no Densetsu (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Valkyrie no Densetsu (Japan)/Valkyrie no Densetsu (Japan).json
NEC TurboGrafx-16 & PC-Engine || Victory Run (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Victory Run (USA)/Victory Run (USA).json
NEC TurboGrafx-16 & PC-Engine || Vigilante (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Vigilante (USA)/Vigilante (USA).json
